Company Name,Logo URL,Description Line,,,,,,,
Cognizant,https://1000logos.net/wp-content/uploads/2021/09/Cognizant-Logo.png,Global professional services company providing IT and consulting services.,,,,,,,
Collabera,https://mma.prnewswire.com/media/470216/Collabera_Logo.jpg?p=facebook,IT staffing and services company.,,,,,,,
Commutec,https://members.commutewithenterprise.com/logo.png,Digital marketing and communications agency.,,,,,,,
Consultancy.,https://bcassetcdn.com/public/blog/wp-content/uploads/2019/07/18094634/blue-chart-consulting.png,#N/A,,,,,,,
Conviction Hr Pvt Ltd,https://recruiter.engineersconnect.com/storage/profiles/1b6z7LG6Y7f0oCMyQvx48GgwvLvh2sqPZdDWoQvC.png,#N/A,,,,,,,
Corbus LLC,https://media-exp1.licdn.com/dms/image/C4D0BAQEIQZGjhdCQXg/company-logo_200_200/0/1547053501040?e=2147483647&v=beta&t=iC1GTgmsBMsnoPKUPQowilkzMR7Jsmykme9WHuVLE4I,Business process management and IT consulting services provider.,,,,,,,
CrossAsyst Technologies Pvt Ltd,https://illuminateminds.com/wp-content/uploads/Featured-Image-Post-Dimension-1080x675.png,#N/A,,,,,,,
Crownstack,https://media.glassdoor.com/sqll/2047702/crownstack-squarelogo-1560170511286.png,Software development and technology consulting company.,,,,,,,
Crystal Containers.,https://crystalcontainers.com/wp-content/uploads/2023/06/logo1-600x188.jpg,#N/A,,,,,,,
D.B. Distributors (P & G),https://dbd.org.in/assets/img/dbglogo.png,#N/A,,,,,,,
Dainik Bhaskar Group,https://www.logotypes101.com/logos/960/86B6775317E49D5EEB89601997F7BBF5/dainikbhaskar.png,Media conglomerate operating newspapers and digital media platforms.,,,,,,,
Datamatics,https://vectorseek.com/wp-content/uploads/2023/04/Datamatics-Logo-Vector.jpg,Global technology and BPO company.,,,,,,,
DCB Bank,https://assets.stickpng.com/images/627cc9bb1b2e263b45696a9c.png,Private sector bank offering retail and corporate banking services.,,,,,,,
Deloitte,https://www.pngall.com/wp-content/uploads/13/Deloitte-Logo-PNG-Cutout.png,"Global professional services network providing audit, consulting, tax, and advisory services.",,,,,,,
"DigitalWin Business Agency pvt.ltd.,",https://yt3.googleusercontent.com/xSj5akFcvT4E2Gv604yLSwLTDMnWUkqMYvereocTizfuJU7VBtmB3hcCZiBGwopmE9Rkxqq-kw=s900-c-k-c0x00ffffff-no-rj,#N/A,,,,,,,
Dmart,https://vectorseek.com/wp-content/uploads/2023/04/DMart-Logo-Vector.jpg,Hypermarket and retail chain.,,,,,,,
DMRank Technologies Pvt. Ltd.,https://4.imimg.com/data4/XT/RA/MY-3097946/frank-technologies-pvt-ltd-350x120.png,#N/A,,,,,,,
DP World,https://logowik.com/content/uploads/images/dp-world6512.logowik.com.webp,Global logistics company and port terminal operator.,,,,,,,
"Driver Logistics LLP,",http://ezydrive.in/static/media/main_logo.d2591199.png,#N/A,,,,,,,
DTDC,https://cdn.freelogovectors.net/wp-content/uploads/2018/03/DTDC-logo.png,Express delivery and courier services company.,,,,,,,
Dyninno Group,https://www.incimages.com/uploaded_files/inc5000company/dyninno_logo_102405.png,"Global technology company operating in travel, finance, and entertainment.",,,,,,,
Easylink Services,https://dypdvfcjkqkg2.cloudfront.net/large/6141081-7109.png,Business process outsourcing and communications services.,,,,,,,
Eclerx,https://eclerx.com/wp-content/uploads/2018/03/eClerx-Logo_Final.png,Digital solutions and business process management company.,,,,,,,
eClinicalWorks,https://mms.businesswire.com/media/20221018005001/en/1594260/23/eclinicalworks-logo-white.jpg,Healthcare IT solutions provider offering electronic health records.,,,,,,,
Edelweiss Tokio Life Insurance,https://brandstory.eletsonline.com/wp-content/uploads/2024/06/Edelweiss-Tokio-Life-Insurance.jpg,Life insurance company offering various insurance products.,,,,,,,
Edubrideg Learning Pvt Ltd,https://e27.co/img/startups/8824/logo-1448503970.png,#N/A,,,,,,,
Edugenius Softwares LLP,https://fresheropenings.com/wp-content/uploads/2020/06/download-3.jpeg,#N/A,,,,,,,
Eicher Tractors,https://car-logos.net/wp-content/uploads/2023/04/eicher-logo-2005-present-scaled.webp,Manufacturer of tractors and agricultural equipment.,,,,,,,
Enrich Salons & Academy,https://cdn0.weddingwire.in/vendor/5543/3_2/960/jpg/enrich-salon-academy-logo_15_5543.jpeg,Premium salon chain offering beauty and wellness services.,,,,,,,
Equentis,https://equentis.com/blog/wp-content/uploads/2024/03/1794-23-Equentis-Logo-Design-Formats_Logo-2-1024x576.jpg,Financial technology and analytics company.,,,,,,,
Ergode,https://media.glassdoor.com/sqll/804164/ergode-inc-squarelogo-1432386644972.png,Software development and IT consulting services provider.,,,,,,,
Ergos Technology Development Center,https://ergos.com/wp-content/uploads/2015/08/Ergos-Logo.png,#N/A,,,,,,,
ESAF,https://www.pngfind.com/pngs/m/425-4250184_esaf-bank-logo-esaf-small-finance-bank-logo.png,Small finance bank offering financial services to underserved communities.,,,,,,,
Even Healthcare,https://globalprimenews.com/wp-content/uploads/2023/07/IMG_20230703_170836.jpg,Healthcare technology company providing digital healthcare services.,,,,,,,
Expound Technovivo,https://www.expoundtechnivo.com/_next/static/media/expound-footer-logo.ad105ff0.png,IT services and software development company.,,,,,,,
EY,https://logodownload.org/wp-content/uploads/2019/10/ernst-young-logo-0.png,"Global professional services firm offering assurance, tax, transaction, and advisory services.",,,,,,,
Factset,https://logowik.com/content/uploads/images/factset4693.jpg,Financial data and software company for investment professionals.,,,,,,,
Factspan,https://www.factspan.com/wp-content/uploads/2023/08/header-logo.svg,Data analytics and business intelligence company.,,,,,,,
Fedral Bank,https://assets.stickpng.com/images/627ccab31b2e263b45696aa2.png,#N/A,,,,,,,
Filpkart,https://logos-world.net/wp-content/uploads/2020/11/Flipkart-Logo-2015-present.jpg,#N/A,,,,,,,
Fintoo/ Consaltan,https://media.glassdoor.com/sqll/763738/fino-consulting-squarelogo-1392305077742.png,#N/A,,,,,,,
FOLKSKILL PVT LTD,https://designsmansion.com/assets/images/portfolio/logo/2.jpg,#N/A,,,,,,,
Fooskill,https://logowik.com/content/uploads/images/fossil-new4401.jpg,Skill development and corporate training company.,,,,,,,
Fundsindia,https://mma.prnewswire.com/media/724271/FundsIndia_Logo.jpg?p=publish,Online investment platform for mutual funds and other financial products.,,,,,,,
Fundsroom,https://media-exp1.licdn.com/dms/image/C560BAQFP9KyBiunikA/company-logo_200_200/0/1617622591662?e=2159024400&v=beta&t=Ksrb56jpGOKS_iksJZl6b8pS68Oc-KbFCxH-GffZ1lc,Financial technology company offering investment solutions.,,,,,,,
Future Focus Infotech Private Limited,https://cutshort.io/horizontal-og-image?img=https://cdn.cutshort.io/public/companies/569c955aaa75b81b48c09082/future-focus-infotech-private-limited-logo,#N/A,,,,,,,
Galti,https://iconape.com/wp-content/files/jd/304635/svg/304635.svg,#N/A,,,,,,,
Gazon Communications India Ltd,https://gazonindia.com/wp-content/uploads/2023/03/Gazon-Communications-Logo-1.png,#N/A,,,,,,,
Geminus Tech,https://geminustech.com/wp-content/uploads/2023/10/Geminus-logo-for-website-dark.svg,IT consulting and software development company.,,,,,,,
Ghodawat Consumer LTD,https://mma.prnewswire.com/media/1759521/Ghodawat_Consumer_Logo_Logo.jpg?p=facebook,#N/A,,,,,,,
Global Service Desk,https://0701.static.prezi.com/preview/v2/rjtnxhgjl7vj3qx63voc3s66536jc3sachvcdoaizecfr3dnitcq_3_0.png,IT support and service desk solutions provider.,,,,,,,
GMR,https://logowik.com/content/uploads/images/gmr-group2964.jpg,"Infrastructure development company with interests in airports, energy, and transportation.",,,,,,,
GOLDEN STAFFING SOLUTIONS,https://goldenlaborstaffing.com/wp-content/uploads/2023/09/1Artboard-112341111111-6-1024x576.png,Recruitment and staffing services provider.,,,,,,,
Good Flippin Burgers,https://stores.goodflippin.com/wp-content/uploads/2024/01/gfb-logo.png,Fast-food restaurant chain specializing in burgers.,,,,,,,
GrayQuest,https://www.dpspanvel.com/site-assets/images/logo/grayquest.png,Educational financial technology company offering fee financing.,,,,,,,
Greenlam Industries ltd,https://www.equitybulls.com/equitybullsadmin/uploads/Greenlam Industries Limited Logo 2.jpg,#N/A,,,,,,,
Growel Softech Ltd,http://companies.naukri.com/growelsoftech-careers/wp-content/uploads/sites/956/2014/07/growel-softech-projects.jpg,#N/A,,,,,,,
Grown Diamond Corporation,https://www.growndiamondcorp.com/Content/public/images/logo.png,Producer of lab-grown diamonds.,,,,,,,
HDB Financial Services Ltd.,https://indiancompanies.in/wp-content/uploads/2020/06/HDB-Financial-Service.png,#N/A,,,,,,,
HDFB Bank,https://logosmarcas.net/wp-content/uploads/2020/11/HDFC-Bank-Emblema.png,#N/A,,,,,,,
HDFC Life,https://1000logos.net/wp-content/uploads/2021/06/HDFC-Life-Logo.png,Life insurance company offering various insurance products.,,,,,,,
Hexaware Technologies Limited,https://vectorseek.com/wp-content/uploads/2022/03/Hexaware-Technologies-Logo-Vector.jpg,#N/A,,,,,,,
Him Technology Private Limited,https://www.himtechdist.com/images/htpl-logo.jpg,#N/A,,,,,,,
Hughes Systique Pvt. Ltd,https://seeklogo.com/images/H/hughes-systique-logo-1B7395A070-seeklogo.com.png,#N/A,,,,,,,
Human talent Expert,https://www.humantalentexpert.com/images/human.png,HR consulting and recruitment services provider.,,,,,,,
Hurixdigital,https://hurix.com/wp-content/uploads/2017/01/Hurix-Logo-1.png,#N/A,,,,,,,
IAAPI / Arihant water park,https://iaapi.org/blogImgs/1704087137-IAAPI Logo Horizontal.jpeg,#N/A,,,,,,,
ICICI Pro,https://static.vecteezy.com/system/resources/previews/020/190/431/non_2x/icici-logo-icici-icon-free-free-vector.jpg,Banking and financial services from ICICI Bank.,,,,,,,
ICICI Prudential Life Insurance,https://seeklogo.com/images/I/icici-prudential-life-insurance-logo-EFE52573B1-seeklogo.com.png,#N/A,,,,,,,
Imenso Software,https://logowik.com/content/uploads/images/imenso-software5786.logowik.com.webp,Software development and IT consulting company.,,,,,,,
ims group recruiter,https://www.imsgroup.com/img/logo.png,#N/A,,,,,,,
IMT,https://brandslogos.com/wp-content/uploads/images/large/imt-logo.png,Educational institution offering management programs.,,,,,,,
India Mart,https://seeklogo.com/images/I/indiamart-logo-DA6C405983-seeklogo.com.png,#N/A,,,,,,,
IndiaFilings,https://wikitia.com/images/3/35/IndiaFilings.png,Business and legal services platform for company registration and compliance.,,,,,,,
IndusInd Bank,https://www.pngitem.com/pimgs/m/153-1531648_indusind-bank-logo-vector-indusind-bank-logo-png.png,Private sector bank offering retail and corporate banking services.,,,,,,,
InfraBeat Technologies Pvt. Ltd.,https://media-exp1.licdn.com/dms/image/C510BAQF7zQ-_to1UgQ/company-logo_200_200/0?e=2159024400&v=beta&t=cfAN1X2EkXZFtsPxRiHnAA8qHW2DZg7yCxkRfpbY8Yw,#N/A,,,,,,,
INGENETUS,"https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/1f2230f3-d395-4701-9831-457e72d51cdf/df0ksjs-0ac2c073-1b20-4c23-b227-7db1a294a480.png/v1/fill/w_1189,h_305,strp/ingenious_logo_w_warner_bylin_by_appleberries22_df0ksjs-fullview.png?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7ImhlaWdodCI6Ijw9MzA1IiwicGF0aCI6IlwvZlwvMWYyMjMwZjMtZDM5NS00NzAxLTk4MzEtNDU3ZTcyZDUxY2RmXC9kZjBrc2pzLTBhYzJjMDczLTFiMjAtNGMyMy1iMjI3LTdkYjFhMjk0YTQ4MC5wbmciLCJ3aWR0aCI6Ijw9MTE4OSJ9XV0sImF1ZCI6WyJ1cm46c2VydmljZTppbWFnZS5vcGVyYXRpb25zIl19.mYxqZUC2HEjdO72l-QQ3GjJ380QCKldXiSXka2bSnto",Engineering and technology solutions provider.,,,,,,,
Jana Small bank,https://currentaffairs.adda247.com/wp-content/uploads/2020/04/11095751/Jana-small-Finance-Bank.jpg,#N/A,,,,,,,
Jetking Infotrain Ltd,https://contacts.zoho.com/file?ot=8&t=serviceorg&ID=684046058,#N/A,,,,,,,
Jio,https://logos-world.net/wp-content/uploads/2020/11/Jio-Logo.png,Telecommunications and digital services company.,,,,,,,
JM Consultancy,https://seeklogo.com/images/J/jm-consulting-healthcare-logo-2ACEDF2CCE-seeklogo.com.png,Business consulting and advisory services provider.,,,,,,,
JM Financial,https://s3-symbol-logo.tradingview.com/jm-financial--600.png,Financial services company offering investment banking and wealth management.,,,,,,,
JP Infra,https://biz.prlog.org/jpinfra/logo.jpg,Real estate development company.,,,,,,,
Just Dial,https://www.liblogo.com/img-logo/ju7956j474-justdial-logo-justdial-logo-download-vector.png,Local search service providing information about businesses and services.,,,,,,,
JWS,https://static.vecteezy.com/system/resources/previews/010/213/537/non_2x/jws-letter-technology-logo-design-on-white-background-jws-creative-initials-letter-it-logo-concept-jws-letter-design-vector.jpg,Legal services and advisory firm.,,,,,,,
K11 School of Fitness Sciences,https://www.karosearch.com/images/uploads/original/3681_banner.jpg,Education institute for fitness training and sports science.,,,,,,,
Keka,https://aniportalimages.s3.amazonaws.com/media/details/Keka_-_Logo-01_WKWT7pd.jpg,HR management software platform.,,,,,,,
Kensium,https://www.myworkforcego.com/wp-content/uploads/2023/11/kensium-logo.png,E-commerce solutions provider and technology consulting company.,,,,,,,
KHY Electronics India Pvt. Ltd,https://media-exp1.licdn.com/dms/image/C510BAQHH5a-WLcjjRg/company-logo_200_200/0/1572105532906?e=2159024400&v=beta&t=ePb9jrUXdOc_UgU87r20b2rfQo0z9oN9GUf529J6o6Q,#N/A,,,,,,,
Kiya.ai,https://cpl.thalesgroup.com/sites/default/files/content/partners/logo/2023-08/Kiya_ai_Logo.jpg,Financial technology company providing digital banking solutions.,,,,,,,
Kotak Mahindra Bank,https://logo-logos.com/2016/10/Kotak_Mahindra_Bank_logo_image_picture.png,Private sector bank offering various financial services.,,,,,,,
Krishna enterprise,https://img.staticmb.com/mbimages/photo_dir/developer/original_images/50218/Krishna-Enterprise-1386236059773-Developer-Logo.jpg,Trading and distribution company.,,,,,,,
Kunvarji,https://b2h9h9q9.rocketcdn.me/wp-content/uploads/2022/10/Kunvarji-Franchise-Logo.png,Financial services company offering broking and investment solutions.,,,,,,,
L&T,https://www.pngkit.com/png/detail/155-1559447_l-t-logo-svg-l-t-hydrocarbon-engineering.png,"Engineering, construction, and manufacturing conglomerate.",,,,,,,
Leadsquared,https://softwarehorsepower.com/wp-content/uploads/2023/02/LeadSquared-logo-1-1-1536x282.png,CRM and marketing automation platform.,,,,,,,
Lenskart,https://1000logos.net/wp-content/uploads/2022/10/Lenskart-Logo-1536x864.png,Eyewear retail chain offering prescription glasses and sunglasses.,,,,,,,
Life Care Logistic Private Limited,http://www.lifecarelogistic.com/wp-content/uploads/2017/04/Life_care_logistics_logo01.png,#N/A,,,,,,,
Livespace,https://traffit.com/wp-content/uploads/2023/11/Livespace-Logo-Navy.webp,#N/A,,,,,,,
Lodha Group,https://companieslogo.com/img/orig/LODHA.NS_BIG-691dc856.png?t=1632892381,Real estate development company.,,,,,,,
LogiQids,https://www.logiqids.com/images/homepage/lq-logo.png,Education technology company focusing on logical reasoning skills.,,,,,,,
Mahindra Holidays,https://bsmedia.business-standard.com/_media/bs/img/article/2023-03/31/full/1680276626-3225.jpg,Vacation ownership and leisure hospitality company.,,,,,,,
MakeMyTrip,https://logodix.com/logo/2126664.png,"Online travel company offering booking services for flights, hotels, and packages.",,,,,,,
ManpowerGroup,https://purepng.com/public/uploads/medium/purepng.com-manpowergroup-logologobrand-logoiconslogos-251519940312ayc2l.png,Workforce solutions company offering recruitment and staffing services.,,,,,,,
Manubhai Gems Pvt. Ltd.,https://cdn0.weddingwire.in/vendor/0323/3_2/640/jpg/manubhai-jewellers-logo_15_50323.jpeg,#N/A,,,,,,,
Mapping Metrics,https://cdn3.vectorstock.com/i/1000x1000/41/62/metrics-logo-template-data-analytics-icon-vector-49674162.jpg,Data analytics and business intelligence company.,,,,,,,
Mentoria,https://mir-s3-cdn-cf.behance.net/project_modules/fs/654ae414959675.5628b37e25b97.jpg,Career guidance and counseling platform.,,,,,,,
Metal seam,https://3.imimg.com/data3/HP/TL/MY-17548470/metal-seam-co-private-limited-logo.jpg,Metal fabrication and manufacturing company.,,,,,,,
MICL Group,https://miclglobal.com/wp-content/uploads/2022/07/logo.png,Real estate and infrastructure development company.,,,,,,,
MLL Express Services Pvt Ltd,https://rivigo.darwinbox.in/ms/s3proxy/getFile?fileKey=INSTANCE2_58f84a03cda41_80/logo/a636ca206347f1__tenant-avatar-80_1178174391.jpg,#N/A,,,,,,,
Mobavenue Media,https://globalprimenews.com/wp-content/uploads/2022/02/IMG-20220224-WA0032-1024x1024.jpg,Mobile advertising and marketing technology company.,,,,,,,
Mobisy Tech,https://d1myhw8pp24x4f.cloudfront.net/company_logo/1644569981_Bizom Logo_Blue.png,Mobile-first SaaS platform for retail execution.,,,,,,,
Modern Insulators LTD,https://www.equitybulls.com/equitybullsadmin/uploads/Modern Insulators Limited 2.jpg,#N/A,,,,,,,
Molbio Diagnostics Private Limited,https://industry.pharmaceutical-tech.com/suppliers/molbio-diagnostics-pvt-ltd/20220810070703479412723.jpg,#N/A,,,,,,,
Morpheus Human Consulting,https://media-exp1.licdn.com/dms/image/C510BAQFlnDhtwZbDZQ/company-logo_200_200/0/1540548310860?e=2159024400&v=beta&t=T5UMuoyVQXmS-iyb6ieOOmWEfvQMsBFjuxz5oj_QDfI,HR consulting and talent management company.,,,,,,,
